Lrise,Ga,Bo,maxVelocity,Ratio,max_ratio,L_bounce_center,L_bounce_upper,t_last
20,80,0.07,4.08589,1.49872,2.17023,3.0173,2.5169,8.73
20,80,0.1,3.69749,1.65534,2.41372,2.6943,2.2506,9.14
20,80,0.4,2.34768,2.45836,3.68685,1.2177,0.7607,12.32
20,80,0.7,2.02295,2.68569,4.33061,0.8348,0.3679,14.93
20,80,1,1.96176,2.02165,6.58687,1.0632,0.3695,17.17
20,60,0.001,5.47973,1.00771,1.11532,3.8867,3.7749,7.25
20,60,0.004,5.32717,1.0303,1.22937,3.4499,3.253,7.46
20,60,0.007,5.23784,1.05314,1.31109,3.2997,3.0652,7.56
20,60,0.01,5.13183,1.07446,1.37405,3.1921,2.9383,7.64
20,60,0.04,4.3759,1.26244,1.75879,2.6036,2.2374,8.19
20,60,0.07,3.90148,1.4186,2.01537,2.3608,1.9561,8.69
20,60,0.1,3.5559,1.54579,2.21578,2.1245,1.6102,9.16
20,60,0.4,2.29744,2.23071,3.27938,1.1038,0.6259,12.29
20,60,0.7,1.93221,2.54485,4.13215,0.7966,0.2429,14.72
20,60,1,1.76043,2.70956,4.70703,0.6368,0.0075,16.65
20,50,0.001,5.09897,1.00669,1.10549,3.1266,3.0169,7.24
20,50,0.004,5.0115,1.02661,1.20963,2.8335,2.6458,7.55
20,50,0.007,4.91581,1.04586,1.28273,2.7125,2.494,7.64
20,50,0.01,4.82243,1.06426,1.33596,2.6005,2.3544,7.69
20,50,0.04,4.17212,1.2278,1.68146,2.1415,1.7617,8.25
20,50,0.07,3.75225,1.36242,1.9114,1.9568,1.5252,8.73
20,50,0.1,3.43862,1.47398,2.0871,1.771,1.3366,9.17
20,50,0.4,2.25734,2.08847,3.03064,0.9707,0.4856,12.28
20,50,0.7,1.89448,2.39607,3.78766,0.6946,0.1214,14.6
20,50,1,1.70107,2.61631,4.2497,0.528,0.0,16.49
20,40,0.001,4.63873,1.00549,1.09313,2.4766,2.3804,7.59
20,40,0.004,4.56757,1.02153,1.1824,2.1246,1.9529,7.73
20,40,0.007,4.45845,1.03657,1.24136,1.9871,1.7787,7.77
20,40,0.01,4.39465,1.05184,1.28977,1.9246,1.6932,7.84
20,40,0.04,3.87615,1.18413,1.59051,1.61,1.273,8.37
20,40,0.07,3.52815,1.29505,1.78154,1.4898,1.0794,8.87
20,40,0.1,3.26612,1.38715,1.93008,1.374,0.9743,9.26
20,40,0.4,2.19965,1.91902,2.74626,0.7936,0.3033,12.34
20,40,0.7,1.8459,2.21529,3.34835,0.5749,0.0001,14.55
20,40,1,1.6549,2.42905,3.90073,0.4547,0.0,16.36
20,30,0.001,3.83905,1.00369,1.0715,1.4169,1.3375,8.02
20,30,0.004,3.89203,1.01513,1.14514,1.3049,1.1634,8.05
20,30,0.007,3.81352,1.02562,1.19163,1.2125,1.0362,8.12
20,30,0.01,3.77546,1.03621,1.23035,1.177,0.9802,8.19
20,30,0.04,3.41735,1.1304,1.46879,1.0178,0.688,8.72
20,30,0.07,3.17436,1.21294,1.62054,0.9813,0.6357,9.18
20,30,0.1,2.97807,1.28288,1.73866,0.9194,0.5079,9.6
20,30,0.4,2.10056,1.7159,2.41523,0.5922,0.0491,12.54
20,30,0.7,1.78197,1.98195,2.89122,0.4517,0.0,14.67
20,30,1,1.60177,2.19327,3.38599,0.3666,0.0,16.35
20,20,0.001,3.01523,1.00215,1.04951,0.6202,0.5598,8.89
20,20,0.004,2.9547,1.00812,1.09709,0.5228,0.4159,9.05
20,20,0.007,2.91531,1.0139,1.12856,0.4929,0.3645,9.13
20,20,0.01,2.8917,1.01962,1.15505,0.4824,0.3348,9.22
20,20,0.04,2.71897,1.07298,1.3193,0.4638,0.2114,9.72
20,20,0.07,2.59093,1.12125,1.4223,0.477,0.1977,10.14
20,20,0.1,2.48176,1.16448,1.5074,0.4712,0.1583,10.5
20,20,0.4,1.91213,1.47865,2.03554,0.3749,0.0,13.32
20,20,0.7,1.66201,1.69758,2.42233,0.297,0.0,15.26
20,20,1,1.51222,1.87628,2.78376,0.2462,0.0,16.77
20,20,4,1.04102,3.19994,6.42557,0.1303,0.0111,25.51
20,20,7,0.985191,1.3294,9.02983,0.0118,0.0,26.06
20,20,10,0.979725,1.30987,10.8717,0.0057,0.0,25.99
20,20,20,0.974193,1.30257,17.7818,0.0,0.003,32.42
20,15,0.001,2.4508,1.00137,1.03583,0.274,0.229,9.92
20,15,0.004,2.37344,1.005,1.06934,0.2392,0.1598,10.28
20,15,0.007,2.3662,1.0087,1.09284,0.2363,0.1352,10.35
20,15,0.01,2.3544,1.01235,1.11185,0.2359,0.1175,10.39
20,15,0.04,2.25631,1.04667,1.23523,0.2663,0.059,10.87
20,15,0.07,2.18501,1.07878,1.31519,0.2933,0.0255,11.31
20,15,0.1,2.12363,1.10922,1.38204,0.3007,0.0047,11.68
20,15,0.4,1.74335,1.34973,1.82404,0.2492,0.0,14.28
20,15,0.7,1.55145,1.5306,2.15844,0.1995,0.0,16.06
20,15,1,1.4268,1.68571,2.46672,0.1667,0.0,17.47
20,15,4,1.02043,2.75423,5.73886,0.0831,0.0,25.32
20,15,7,0.959142,1.35149,8.43613,0.0551,0.0,28.69
20,15,10,0.953545,1.32139,10.2577,0.0264,0.0,30.31
20,15,20,0.947821,1.30295,15.1129,0.0,0.004,34.57
20,10,0.001,1.8623,1.00082,1.02027,0.0778,0.0507,12.1
20,10,0.004,1.77587,1.00268,1.03982,0.0799,0.0311,12.74
20,10,0.007,1.77187,1.00458,1.05436,0.0884,0.0201,12.81
20,10,0.01,1.76761,1.00655,1.06641,0.0959,0.01,12.89
20,10,0.04,1.72641,1.0255,1.14891,0.1313,0.001,13.45
20,10,0.07,1.69748,1.04389,1.20479,0.1418,0.0,13.84
20,10,0.1,1.67105,1.06168,1.25222,0.1433,0.0,14.15
20,10,0.4,1.47836,1.21993,1.59368,0.1135,0.0,16.34
20,10,0.7,1.35759,1.35302,1.85984,0.0892,0.0,17.9
20,10,1,1.27659,1.46952,2.10723,0.0737,0.0,19.16
20,10,4,0.96971,2.26876,4.70838,0.0298,0.0,26.0
20,10,7,0.903775,1.3654,7.09546,0.0181,0.0,28.9
20,10,10,0.898398,1.33213,8.94138,0.0067,0.0,30.26
20,10,20,0.892509,1.31335,12.6895,0.0,0.0007,37.28
20,7.5,0.001,1.54163,1.00055,1.01162,0.0302,0.0146,14.26
20,7.5,0.004,1.4676,1.0018,1.02376,0.0388,0.005,15.08
20,7.5,0.007,1.45764,1.00309,1.03358,0.0438,0.0005,15.24
20,7.5,0.01,1.45514,1.00431,1.04291,0.0477,0.0001,15.33
20,7.5,0.04,1.43261,1.01709,1.10383,0.0663,0.0,15.86
20,7.5,0.07,1.4157,1.02967,1.14702,0.0691,0.0,16.21
20,7.5,0.1,1.4013,1.04205,1.18482,0.0677,0.0,16.51
20,7.5,0.4,1.28522,1.15827,1.46979,0.047,0.0,18.43
20,7.5,0.7,1.20655,1.26081,1.69685,0.0335,0.0,19.81
20,7.5,1,1.14989,1.35428,1.90605,0.0248,0.0,20.95
20,7.5,4,0.913117,1.99313,3.99045,0.003,0.0,26.88
20,7.5,7,0.856855,2.25288,6.00219,0.0,0.0,28.7
20,7.5,10,0.841292,1.33349,7.5938,0.0,0.0002,48.17
20,7.5,20,0.836257,1.31321,11.0091,0.0,0.0051,53.29
20,5,0.001,1.16429,1.00035,1.00396,0.005,0.0032,18.7
20,5,0.004,1.10956,1.00112,1.00936,0.004,0.0,19.7
20,5,0.007,1.10264,1.0019,1.01508,0.0047,0.0,19.85
20,5,0.01,1.09947,1.00268,1.02019,0.0058,0.0,19.92
20,5,0.04,1.09157,1.01041,1.05913,0.0086,0.0,20.41
20,5,0.07,1.085,1.01812,1.08992,0.0066,0.0,20.66
20,5,0.1,1.07877,1.02576,1.11803,0.0052,0.0,20.89
20,5,0.4,1.0288,1.09963,1.34128,0.0,0.0,26.8
20,5,0.7,0.989068,1.16834,1.52632,0.0,0.0,29.39
20,5,1,0.955686,1.23192,1.69124,0.0,0.0,31.83
20,5,4,0.806086,1.67974,3.21256,0.0,0.0,43.9
20,5,7,0.767386,1.87129,4.62848,0.0,0.0,49.08
20,5,10,0.752903,1.90677,5.82315,0.0,0.0,57.72
20,5,20,0.741398,1.87401,8.52605,0.0,0.0,61.47
20,2.5,0.001,0.712321,1.00016,1.00191,0.0002,0.0032,31.35
20,2.5,0.004,0.680852,1.00054,1.00556,0.0048,0.0033,36.97
20,2.5,0.007,0.676646,1.00088,1.00941,0.0004,0.0032,36.38
